Country,Country Code,Diabetes Total,Diabetes Male,Diabetes Female,Overweight Total,Overweight Male,Overweight Female,Obesity Total,Obesity Male,Obesity Female, Diabetes Proportional Mortality,Diabetes Total per,Diabetes Total2,Obesity Total per,Overweight Total per,
South Africa,ZAF,9.80%,7.70%,11.80%,25.60%,14.60%,36.00%,51.90%,41.00%,62.20%,6%,9.00,0.098,0.52,0.26,
South Sudan,SDS,6.60%,6.00%,7.20%,6.60%,3.60%,9.60%,25.00%,19.50%,30.50%,,6.00,0.066,0.25,0.07,
Spain,ESP,9.40%,10.60%,8.20%,65.60%,70.30%,60.90%,26.50%,24.90%,28.00%,21%,9.00,0.094,0.27,0.66,
Sri Lanka,LKA,7.90%,7.30%,8.40%,26.10%,18.90%,32.90%,6.80%,3.50%,10.00%,Other NCDs,7.00,0.079,0.07,0.26,
Sudan,SDN,6.60%,6.00%,7.20%,6.60%,3.60%,9.60%,25.00%,19.50%,30.50%,2%,6.00,0.066,0.25,0.07,
Suriname,SUR,11.90%,10.40%,13.50%,58.40%,53.50%,63.30%,26.10%,19.40%,32.90%,7%,11.00,0.119,0.26,0.58,
Swaziland,SWZ,6.60%,5.00%,8.20%,36.10%,23.00%,48.80%,14.80%,6.00%,23.50%,3%,6.00,0.066,0.15,0.36,
Sweden,SWE,6.90%,7.80%,6.00%,59.20%,65.90%,52.40%,22.00%,23.60%,20.40%,,6.00,0.069,0.22,0.59,
Switzerland,CHE,5.60%,6.90%,4.40%,58.20%,66.70%,50.00%,21.00%,23.80%,18.30%,Other NCDs,5.00,0.056,0.21,0.58,
Syrian Arab Republic,SYR,11.90%,11.20%,12.60%,55.00%,51.50%,58.70%,21.60%,15.90%,27.50%,1%,11.00,0.119,0.22,0.55,
Tajikistan,TJK,7.60%,7.60%,7.60%,12.00%,8.80%,15.10%,41.10%,37.50%,44.70%,1%,7.00,0.076,0.41,0.12,
Thailand,THA,9.60%,9.10%,10.10%,9.20%,6.10%,12.10%,31.60%,27.70%,35.40%,4%,9.00,0.096,0.32,0.09,
The former Yugoslav Republic of Macedonia,MKD,8.20%,Diabetes,8.60%,53.20%,Overweight,61.70%,22.40%,Obesity,19.20%,,8.00,0.082,0.22,0.53,
Timor-Leste,TLS,3.90%,3.70%,4.10%,12.30%,9.30%,15.30%,1.80%,1.00%,2.60%,2%,3.00,0.039,0.02,0.12,
Togo,TOT,4.90%,4.80%,5.00%,23.10%,30.50%,15.40%,6.40%,10.10%,2.60%,2%,4.00,0.049,0.06,0.23,
Tonga,TGO,21.90%,19.10%,24.50%,71.80%,66.20%,77.50%,41.10%,34.00%,48.20%,,21.00,0.219,0.41,0.72,
Trinidad and Tobago,TTO,12.50%,10.90%,14.10%,63.10%,56.90%,69.10%,32.30%,24.90%,39.50%,,12.00,0.125,0.32,0.63,
Tunisia,TUN,12.20%,11.70%,12.70%,27.10%,20.20%,33.90%,62.80%,59.00%,66.50%,,12.00,0.122,0.63,0.27,
Turkey,TUR,13.20%,12.20%,14.20%,66.10%,63.50%,68.70%,29.40%,22.60%,35.90%,Other NCDs,13.00,0.132,0.29,0.66,
